tweet_id,favorites,retweets,user_followers,user_favourites,date_time
840728873075638272,0,14563,9358960,147581,2017-03-12 00:59:17+00:00
840698636975636481,163,2,9358960,147581,2017-03-11 22:59:09+00:00
840696689258311684,11455,889,9358960,147581,2017-03-11 22:51:24+00:00
840632337062862849,8411,1619,9358960,147581,2017-03-11 18:35:42+00:00
840370681858686976,15309,4171,9358960,147581,2017-03-11 01:15:58+00:00
840268004936019968,17856,5204,9358960,147581,2017-03-10 18:27:58+00:00
839990271299457024,12507,2063,9358960,147581,2017-03-10 00:04:21+00:00
839549326359670784,25521,7050,9358960,147581,2017-03-08 18:52:12+00:00
839290600511926273,0,132,9359429,147585,2017-03-08 01:44:07+00:00
839239871831150596,25181,5918,9358960,147581,2017-03-07 22:22:32+00:00
838952994649550848,18333,3655,9358960,147581,2017-03-07 03:22:35+00:00
838921590096166913,10399,1852,9358960,147581,2017-03-07 01:17:48+00:00
838916489579200512,0,31,9358960,147581,2017-03-07 00:57:32+00:00
838831947270979586,0,9997,9358960,147581,2017-03-06 19:21:35+00:00
838561493054533637,10228,1229,9358960,147581,2017-03-06 01:26:54+00:00
838476387338051585,20933,4331,9358960,147581,2017-03-05 19:48:43+00:00
838201503651401729,0,9156,9358960,147581,2017-03-05 01:36:26+00:00
838150277551247360,1567,301,9358960,147581,2017-03-04 22:12:52+00:00
838085839343206401,133,1,9358960,147581,2017-03-04 17:56:49+00:00
838083903487373313,16431,2831,9358960,147581,2017-03-04 17:49:08+00:00
837820167694528512,31770,7133,9358960,147581,2017-03-04 00:21:08+00:00
837482249356513284,3598,405,9358960,147581,2017-03-03 01:58:22+00:00
837471256429613056,11967,2058,9358960,147581,2017-03-03 01:14:41+00:00
837110210464448512,15050,2173,9358960,147581,2017-03-02 01:20:01+00:00
836989968035819520,11924,2107,9358960,147581,2017-03-01 17:22:13+00:00
836753516572119041,18090,4254,9358960,147581,2017-03-01 01:42:39+00:00
836677758902222849,11824,2019,9358960,147581,2017-02-28 20:41:37+00:00
836648853927522308,0,506,9358960,147581,2017-02-28 18:46:45+00:00
836397794269200385,0,25006,9358960,147581,2017-02-28 02:09:08+00:00
836380477523124226,13879,2745,9358960,147581,2017-02-28 01:00:19+00:00
836260088725786625,19914,3974,9358960,147581,2017-02-27 17:01:56+00:00
836001077879255040,17859,3878,9358960,147581,2017-02-26 23:52:43+00:00
